Tue. Nov. 22, 2016             LANDSAT 5                 Time: 21:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L21771215            Path/Row: 141 / 048

L0R Reference Image: L51BKT1006047040100_HDF.163280205
Acquisition Date: Feb 16, 2006

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
141   048   12-08-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1410480002_01   17.436020   82.516982   -27.879      -3.891    -1.375    -3.660    -1.907
1410480004_01   17.741375   83.265120   -34.810      -0.866     1.334    -1.044     1.200
1410480006_01   16.940652   82.245918   -70.703      -0.899     4.321    -1.498     4.151
1410480009_01   17.788135   82.778547    15.415      -1.634    -0.610    -1.533    -0.833
1410480010_01   16.763021   82.206481   -71.279      -4.910     2.407    -5.200     1.692
1410480011_01   17.632027   83.181222   -58.292      -1.726     4.790    -2.381     4.502
1410480014_01   17.842118   83.247434     9.179      -4.779     1.475    -4.939     0.791
1410480016_01   17.793195   82.903373    43.584      -6.798    -0.862    -6.610    -1.805
1410480021_01   17.577561   83.180568   -68.609      -6.912    -3.935    -6.294    -4.867
1410480032_01   17.214735   82.112043   -31.308       3.768     1.838     3.471     2.348
1410480034_01   17.401422   82.828127   -68.468       3.280     4.650     2.595     5.066
1410480038_01   17.339958   82.697403   -70.673       3.186    -5.739     3.961    -5.235
1410480043_01   17.360212   82.737955   -68.812       5.455     1.469     5.195     2.220
1410480047_01   17.518295   83.045403   -63.346       0.062    -5.245     0.797    -5.186
1410480051_01   17.602567   83.222691   -57.393       0.379    -0.339     0.423    -0.282
1410480054_01   17.225483   81.973858    20.163       1.617     4.925     0.907     5.102
1410480057_01   17.289215   82.174298     3.365       6.650     6.442     5.676     7.309
1410480059_01   17.452352   82.945548   -36.252      -3.214    -1.543    -2.966    -1.979
1410480061_01   17.471184   82.987264   -66.854       4.102    -2.698     4.441    -2.096
1410480062_01   17.814161   83.251327    98.262      -0.225    -5.911     0.605    -5.885
1410480063_01   17.303249   82.089711    -9.845       1.547     2.344     1.202     2.538
