==============================================================================
==============================================================================
Wed. Nov. 23 2016                  LANDSAT 5                       Time: 03:37
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501611211520_00484                          Path / Row - 141 / 48
Reference Image: L51BKT1006047040100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1410480015   18.25910     82.24506     0.30      0.12     0.32     1 
1410480090   18.23443     82.24489    -0.02      0.31     0.31     1 
1410480093   18.23384     82.33255     0.18      0.25     0.31     1 
1410480094   18.23364     82.36177     0.08      0.17     0.19     1 
1410480095   18.23343     82.39099     0.08      0.17     0.18     1 
1410480096   18.23321     82.42020     0.17      0.18     0.25     1 
1410480165   18.20976     82.24471    -0.23     -0.01     0.23     1 
1410480166   18.20957     82.27393     0.03      0.33     0.33     1 
1410480167   18.20938     82.30314     0.06      0.31     0.31     1 
1410480168   18.20917     82.33236     0.05      0.21     0.22     1 
1410480169   18.20897     82.36157     0.00      0.29     0.29     1 
1410480170   18.20876     82.39079     0.09      0.16     0.19     1 
1410480171   18.20855     82.42000     0.07      0.19     0.20     1 
1410480175   18.20764     82.53686    -0.04      0.28     0.29     1 
1410480177   18.20717     82.59528     0.09      0.08     0.12     1 
1410480242   18.18471     82.30296     0.15      0.28     0.31     1 
1410480244   18.18430     82.36138     0.13      0.24     0.27     1 
1410480245   18.18409     82.39059     0.01      0.27     0.27     1 
1410480250   18.18298     82.53664     0.06      0.22     0.23     1 
1410480251   18.18274     82.56585     0.02      0.18     0.18     1 
1410480252   18.18250     82.59506    -0.04      0.12     0.12     1 
1410480253   18.18226     82.62426     0.03      0.20     0.20     1 
1410480254   18.18201     82.65347     0.01      0.19     0.19     1 
1410480255   18.18175     82.68268     0.04      0.19     0.19     1 
1410480256   18.18150     82.71188     0.06      0.14     0.16     1 
1410480257   18.18123     82.74109     0.13      0.16     0.20     1 
1410480258   18.18097     82.77029     0.12      0.06     0.13     1 
1410480259   18.18070     82.79950     0.20      0.06     0.21     1 
1410480313   18.16079     82.18594     0.06      0.17     0.18     1 
1410480316   18.16023     82.27357     0.02      0.30     0.30     1 
1410480317   18.16004     82.30278     0.07      0.24     0.25     1 
1410480318   18.15984     82.33198     0.20      0.15     0.25     1 
1410480322   18.15899     82.44881     0.07      0.26     0.27     1 
1410480323   18.15877     82.47801     0.14      0.10     0.17     1 
1410480324   18.15854     82.50722     0.15      0.18     0.24     1 
1410480325   18.15831     82.53642    -0.01      0.26     0.26     1 
1410480326   18.15808     82.56563     0.07      0.23     0.24     1 
1410480327   18.15784     82.59483     0.01      0.18     0.18     1 
1410480328   18.15759     82.62404    -0.03      0.15     0.16     1 
1410480329   18.15734     82.65324     0.06      0.18     0.18     1 
1410480330   18.15709     82.68244     0.05      0.11     0.11     1 
1410480331   18.15683     82.71164     0.04      0.20     0.21     1 
1410480332   18.15657     82.74084    -0.04     -0.04     0.05     1 
1410480333   18.15630     82.77004     0.06      0.00     0.06     1 
1410480334   18.15603     82.79924     0.00      0.11     0.11     1 
1410480335   18.15576     82.82845     0.08      0.20     0.22     1 
1410480336   18.15548     82.85765    -0.01      0.11     0.11     1 
1410480337   18.15519     82.88684     0.06      0.05     0.08     1 
1410480338   18.15490     82.91604     0.07      0.14     0.16     1 
1410480339   18.15461     82.94524     0.16     -0.00     0.16     1 
1410480340   18.15431     82.97444     0.14     -0.01     0.15     1 
1410480390   18.13576     82.24419     0.08      0.29     0.30     1 
1410480391   18.13556     82.27339     0.02      0.31     0.31     1 
1410480393   18.13517     82.33180     0.07      0.24     0.25     1 
1410480396   18.13454     82.41940     0.09      0.23     0.25     1 
1410480397   18.13433     82.44861     0.08      0.23     0.24     1 
1410480398   18.13410     82.47781    -0.01      0.27     0.27     1 
1410480399   18.13388     82.50701     0.09      0.25     0.26     1 
